--- Ground Truth Regime Log ---
Window 1: BEAR (Actual Momentum: -0.0003)
Window 2: SIDEWAYS (Actual Momentum: 0.0002)
Window 3: SIDEWAYS (Actual Momentum: 0.0003)
Window 4: BULL (Actual Momentum: 0.0004)
Window 5: BULL (Actual Momentum: -0.0003)
Window 6: BULL (Actual Momentum: 0.0001)
Window 7: SIDEWAYS (Actual Momentum: -0.0009)
Window 8: BEAR (Actual Momentum: -0.0008)
Window 9: BEAR (Actual Momentum: 0.0011)
Window 10: SIDEWAYS (Actual Momentum: 0.0003)
Window 11: SIDEWAYS (Actual Momentum: 0.0003)
Window 12: SIDEWAYS (Actual Momentum: 0.0001)
